,x1,x2
0,3350.0,3000
1,3347.90035,2999
2,3345.8014,2998
3,3343.70315,2997
4,3341.6056,2996
5,3339.50875,2995
6,3337.4126,2994
7,3335.31715,2993
8,3333.2224,2992
9,3331.12835,2991
10,3329.035,2990
11,3326.94235,2989
12,3324.8504,2988
13,3322.75915,2987
14,3320.6686,2986
15,3318.57875,2985
16,3316.4896,2984
17,3314.40115,2983
18,3312.3134,2982
19,3310.22635,2981
20,3308.14,2980
21,3306.05435,2979
22,3303.9694,2978
23,3301.88515,2977
24,3299.8016,2976
25,3297.71875,2975
26,3295.6366,2974
27,3293.55515,2973
28,3291.4744,2972
29,3289.39435,2971
30,3287.315,2970
31,3285.23635,2969
32,3283.1584,2968
33,3281.08115,2967
34,3279.0045999999998,2966
35,3276.92875,2965
36,3274.8536,2964
37,3272.77915,2963
38,3270.7054,2962
39,3268.63235,2961
40,3266.56,2960
41,3264.48835,2959
42,3262.4174,2958
43,3260.34715,2957
44,3258.2776,2956
45,3256.20875,2955
46,3254.1406,2954
47,3252.07315,2953
48,3250.0063999999998,2952
49,3247.94035,2951
50,3245.875,2950
51,3243.8103499999997,2949
52,3241.7464,2948
53,3239.68315,2947
54,3237.6206,2946
55,3235.55875,2945
56,3233.4976,2944
57,3231.4371499999997,2943
58,3229.3774,2942
59,3227.31835,2941
60,3225.2599999999998,2940
61,3223.20235,2939
62,3221.1454,2938
63,3219.08915,2937
64,3217.0335999999998,2936
65,3214.9787499999998,2935
66,3212.9246,2934
67,3210.87115,2933
68,3208.8184,2932
69,3206.76635,2931
70,3204.715,2930
71,3202.66435,2929
72,3200.6144,2928
73,3198.56515,2927
74,3196.5166,2926
75,3194.46875,2925
76,3192.4216,2924
77,3190.37515,2923
78,3188.3294,2922
79,3186.28435,2921
80,3184.24,2920
81,3182.19635,2919
82,3180.1534,2918
83,3178.11115,2917
84,3176.0696,2916
85,3174.02875,2915
86,3171.9886,2914
87,3169.94915,2913
88,3167.9103999999998,2912
89,3165.87235,2911
90,3163.835,2910
91,3161.79835,2909
92,3159.7624,2908
93,3157.72715,2907
94,3155.6926,2906
95,3153.65875,2905
96,3151.6256,2904
97,3149.59315,2903
98,3147.5614,2902
99,3145.53035,2901
100,3143.5,2900
101,3141.47035,2899
102,3139.4414,2898
103,3137.41315,2897
104,3135.3856,2896
105,3133.35875,2895
106,3131.3326,2894
107,3129.30715,2893
108,3127.2824,2892
109,3125.25835,2891
110,3123.235,2890
111,3121.21235,2889
112,3119.1904,2888
113,3117.16915,2887
114,3115.1486,2886
115,3113.12875,2885
116,3111.1096,2884
117,3109.0911499999997,2883
118,3107.0733999999998,2882
119,3105.05635,2881
120,3103.04,2880
121,3101.02435,2879
122,3099.0094,2878
123,3096.99515,2877
124,3094.9816,2876
125,3092.96875,2875
126,3090.9566,2874
127,3088.94515,2873
128,3086.9344,2872
129,3084.92435,2871
130,3082.915,2870
131,3080.9063499999997,2869
132,3078.8984,2868
133,3076.89115,2867
134,3074.8846,2866
135,3072.87875,2865
136,3070.8736,2864
137,3068.86915,2863
138,3066.8654,2862
139,3064.86235,2861
140,3062.86,2860
141,3060.85835,2859
142,3058.8574,2858
