s_t,s,s_d
0.0,5990.0,-2.3997999999992317
1.0,5989.0,-2.399400000001151
2.0,5988.0,-2.3989999999994325
3.0,5987.0,-2.3985999999986234
4.0,5986.0,-2.3982000000014523
5.0,5985.0,-2.3977999999997337
6.0,5984.0,-2.3974000000007436
7.0,5983.0,-2.3969999999981155
8.0,5982.0,-2.396600000000035
9.0,5981.0,-2.396200000001045
10.0,5980.0,-2.3958000000002357
11.0,5979.0,-2.3953999999994267
12.0,5978.0,-2.3950000000004366
13.0,5977.0,-2.394599999998718
14.0,5976.0,-2.394200000001547
15.0,5975.0,-2.3937999999998283
16.0,5974.0,-2.3933999999999287
17.0,5973.0,-2.393000000000029
18.0,5972.0,-2.3926000000001295
19.0,5971.0,-2.39220000000023
20.0,5970.0,-2.3918000000003303
21.0,5969.0,-2.3913999999995212
22.0,5968.0,-2.3909999999996217
23.0,5967.0,-2.3905999999988126
24.0,5966.0,-2.3902000000016415
25.0,5965.0,-2.389799999999923
26.0,5964.0,-2.3894000000000233
27.0,5963.0,-2.3890000000001237
28.0,5962.0,-2.388599999998405
29.0,5961.0,-2.388200000001234
30.0,5960.0,-2.3877999999995154
31.0,5959.0,-2.3874000000005253
32.0,5958.0,-2.3870000000006257
33.0,5957.0,-2.3865999999979977
34.0,5956.0,-2.386200000001736
35.0,5955.0,-2.385799999999108
36.0,5954.0,-2.3853999999992084
37.0,5953.0,-2.3850000000011278
38.0,5952.0,-2.3846000000003187
39.0,5951.0,-2.3841999999986
40.0,5950.0,-2.383800000001429
41.0,5949.0,-2.3833999999997104
42.0,5948.0,-2.3829999999989013
43.0,5947.0,-2.3825999999999112
44.0,5946.0,-2.3822000000000116
45.0,5945.0,-2.381800000001931
46.0,5944.0,-2.381399999999303
47.0,5943.0,-2.381000000000313
48.0,5942.0,-2.3806000000004133
49.0,5941.0,-2.380199999999604
50.0,5940.0,-2.3797999999997046
51.0,5939.0,-2.3794000000007145
52.0,5938.0,-2.3789999999980864
53.0,5937.0,-2.378600000000006
54.0,5936.0,-2.378200000001925
55.0,5935.0,-2.377799999999297
56.0,5934.0,-2.377400000000307
57.0,5933.0,-2.3770000000004075
58.0,5932.0,-2.3765999999995984
59.0,5931.0,-2.3761999999996988
60.0,5930.0,-2.3758000000007087
61.0,5929.0,-2.3753999999980806
62.0,5928.0,-2.375
63.0,5927.0,-2.3746000000019194
64.0,5926.0,-2.3741999999992913
65.0,5925.0,-2.3738000000003012
66.0,5924.0,-2.3734000000004016
67.0,5923.0,-2.3729999999995925
68.0,5922.0,-2.372599999999693
69.0,5921.0,-2.372200000000703
70.0,5920.0,-2.371799999998075
71.0,5919.0,-2.371399999999994
72.0,5918.0,-2.3710000000019136
73.0,5917.0,-2.3705999999992855
74.0,5916.0,-2.3702000000002954
75.0,5915.0,-2.369800000000396
76.0,5914.0,-2.3693999999995867
77.0,5913.0,-2.368999999999687
78.0,5912.0,-2.368600000000697
79.0,5911.0,-2.368199999998069
80.0,5910.0,-2.3677999999999884
81.0,5909.0,-2.3674000000000888
82.0,5908.0,-2.3670000000010987
83.0,5907.0,-2.3666000000002896
84.0,5906.0,-2.366199999998571
85.0,5905.0,-2.3658000000014
86.0,5904.0,-2.3653999999996813
87.0,5903.0,-2.3649999999988722
88.0,5902.0,-2.3646000000007916
89.0,5901.0,-2.364200000000892
90.0,5900.0,-2.363799999998264
91.0,5899.0,-2.3634000000001834
92.0,5898.0,-2.3630000000011933
93.0,5897.0,-2.3625999999994747
94.0,5896.0,-2.3622000000004846
95.0,5895.0,-2.361799999998766
96.0,5894.0,-2.361400000001595
97.0,5893.0,-2.3609999999998763
98.0,5892.0,-2.3605999999999767
99.0,5891.0,-2.360200000000077
100.0,5890.0,-2.3597999999983585
101.0,5889.0,-2.3594000000011874
102.0,5888.0,-2.3590000000003783
103.0,5887.0,-2.3585999999986598
104.0,5886.0,-2.3582000000014887
105.0,5885.0,-2.35779999999977
106.0,5884.0,-2.3573999999998705
107.0,5883.0,-2.356999999999971
108.0,5882.0,-2.3566000000000713
109.0,5881.0,-2.3562000000001717
110.0,5880.0,-2.355799999998453
111.0,5879.0,-2.355400000001282
112.0,5878.0,-2.3549999999995634
113.0,5877.0,-2.3546000000005733
114.0,5876.0,-2.3541999999997643
115.0,5875.0,-2.353799999998955
116.0,5874.0,-2.353399999999965
117.0,5873.0,-2.3530000000000655
118.0,5872.0,-2.3526000000010754
119.0,5871.0,-2.3522000000002663
120.0,5870.0,-2.3517999999985477
121.0,5869.0,-2.3514000000013766
122.0,5868.0,-2.3509999999987485
123.0,5867.0,-2.350600000000668
124.0,5866.0,-2.3502000000007683
125.0,5865.0,-2.3497999999999593
126.0,5864.0,-2.3494000000000597
127.0,5863.0,-2.348999999998341
128.0,5862.0,-2.3486000000002605
129.0,5861.0,-2.3482000000012704
130.0,5860.0,-2.3477999999986423
131.0,5859.0,-2.347400000001471
132.0,5858.0,-2.3469999999997526
133.0,5857.0,-2.346599999999853
134.0,5856.0,-2.3461999999999534
135.0,5855.0,-2.345800000000054
136.0,5854.0,-2.3454000000001543
137.0,5853.0,-2.3450000000002547
138.0,5852.0,-2.344599999998536
139.0,5851.0,-2.344200000001365
140.0,5850.0,-2.3437999999996464
141.0,5849.0,-2.3433999999988373
142.0,5848.0,-2.343000000001666
143.0,5847.0,-2.3425999999999476
144.0,5846.0,-2.342200000000048
145.0,5845.0,-2.3417999999983294
146.0,5844.0,-2.3414000000011583
147.0,5843.0,-2.3410000000003492
148.0,5842.0,-2.3405999999986307
149.0,5841.0,-2.3402000000014596
150.0,5840.0,-2.339799999999741
151.0,5839.0,-2.3393999999998414
152.0,5838.0,-2.3389999999990323
153.0,5837.0,-2.3386000000009517
154.0,5836.0,-2.3382000000001426
155.0,5835.0,-2.337800000000243
156.0,5834.0,-2.3373999999985244
157.0,5833.0,-2.3370000000013533
158.0,5832.0,-2.3365999999987253
159.0,5831.0,-2.336200000001554
160.0,5830.0,-2.3357999999998356
161.0,5829.0,-2.335399999999936
162.0,5828.0,-2.3350000000000364
163.0,5827.0,-2.334600000000137
164.0,5826.0,-2.334199999998418
165.0,5825.0,-2.333800000001247
166.0,5824.0,-2.333399999998619
167.0,5823.0,-2.333000000001448
168.0,5822.0,-2.33259999999882
169.0,5821.0,-2.3321999999998297
170.0,5820.0,-2.33179999999993
171.0,5819.0,-2.3314000000000306
172.0,5818.0,-2.331000000000131
173.0,5817.0,-2.330600000001141
174.0,5816.0,-2.330200000000332
175.0,5815.0,-2.329799999998613
176.0,5814.0,-2.329400000001442
177.0,5813.0,-2.3289999999997235
178.0,5812.0,-2.328599999999824
179.0,5811.0,-2.328199999999015
180.0,5810.0,-2.3278000000009342
181.0,5809.0,-2.327400000000125
182.0,5808.0,-2.3270000000002256
183.0,5807.0,-2.326599999998507
184.0,5806.0,-2.326200000001336
185.0,5805.0,-2.325799999998708
186.0,5804.0,-2.3254000000015367
187.0,5803.0,-2.324999999999818
188.0,5802.0,-2.3245999999999185
189.0,5801.0,-2.324200000000019
190.0,5800.0,-2.3238000000001193
191.0,5799.0,-2.3234000000002197
192.0,5798.0,-2.322999999998501
193.0,5797.0,-2.32260000000133
194.0,5796.0,-2.322199999998702
195.0,5795.0,-2.321799999999712
196.0,5794.0,-2.3214000000016313
197.0,5793.0,-2.3209999999999127
198.0,5792.0,-2.320600000000013
199.0,5791.0,-2.3202000000001135
200.0,5790.0,-2.319799999998395
201.0,5789.0,-2.319400000001224
202.0,5788.0,-2.3190000000004147
203.0,5787.0,-2.3185999999996056
204.0,5786.0,-2.3181999999987966
205.0,5785.0,-2.3178000000016254
206.0,5784.0,-2.317399999999907
207.0,5783.0,-2.3170000000000073
208.0,5782.0,-2.3166000000001077
209.0,5781.0,-2.316199999998389
210.0,5780.0,-2.315800000001218
211.0,5779.0,-2.315400000000409
212.0,5778.0,-2.3149999999996
213.0,5777.0,-2.3145999999987907
214.0,5776.0,-2.3142000000016196
215.0,5775.0,-2.313799999999901
216.0,5774.0,-2.3134000000000015
217.0,5773.0,-2.313000000000102
218.0,5772.0,-2.3125999999983833
