s_t,s
0.0,0.4971552570000002
1.0,0.4971552570000002
2.0,0.4971552570000002
3.0,0.4971552570000002
4.0,0.4971552570000002
5.0,0.4971552570000002
6.0,0.4971552570000002
7.0,0.4971552570000002
8.0,0.4971552570000002
9.0,0.4971552570000002
10.0,0.4971552570000002
11.0,0.4971552570000002
12.0,0.4971552570000002
13.0,0.4971552570000002
14.0,0.4971552570000002
15.0,0.4971552570000002
16.0,0.4971552570000002
17.0,0.4971552570000002
18.0,0.4971552570000002
19.0,0.4971552570000002
20.0,0.4971552570000002
21.0,0.4971552570000002
22.0,0.4971552570000002
23.0,0.4971552570000002
24.0,0.4971552570000002
25.0,0.4971552570000002
26.0,0.4971552570000002
27.0,0.4971552570000002
28.0,0.4971552570000002
29.0,0.4971552570000002
30.0,0.4971552570000002
31.0,0.4971552570000002
32.0,0.4971552570000002
33.0,0.4971552570000002
34.0,0.4971552570000002
35.0,0.4971552570000002
36.0,0.4971552570000002
37.0,0.4971552570000002
38.0,0.4971552570000002
39.0,0.4971552570000002
40.0,0.4971552570000002
41.0,0.4971552570000002
42.0,0.4971552570000002
43.0,0.4971552570000002
44.0,0.4971552570000002
45.0,0.4971552570000002
46.0,0.4971552570000002
47.0,0.4971552570000002
48.0,0.4971552570000002
49.0,0.4971552570000002
