,x1,x2
0,0.0,0.0
1,0.0799551413,0.0
2,0.1593983239,0.0
3,0.2378208671,0.0
4,0.3147206256,0.0
5,0.3896052045,0.0588266725
6,0.4619951123,0.1947123892
7,0.5314268309,0.2594769247
8,0.597455784,0.3781802738
9,0.6596591833,0.4097207897
10,0.7176387356,0.463972107
11,0.7710231937,0.5229860538
12,0.8194707329,0.5452060163
13,0.86267114,0.7064895416
14,0.9003477995,0.7514776872
15,0.932259465,0.7973821352
16,0.9582018038,0.7795974802
17,0.9780087051,0.8202639593
18,0.9915533438,0.8935486132
19,0.9987489926,0.9534735773
20,0.9995495772,0.9532888102
21,0.9939499715,0.9715312854
22,0.9819860301,0.9905498889
23,0.963734359,0.9973912787
24,0.9393118251,0.9953448919
25,0.9088748076,0.9888672134
26,0.872618197,0.9829478593
27,0.8307741472,0.961077181
28,0.7836105886,0.9611360096
29,0.7314295131,0.9068065786
30,0.67456504,0.8824035282
31,0.6133812767,0.8488014405
32,0.5482699874,0.74345059
33,0.4796480845,0.7449901971
34,0.4079549592,0.6382420286
35,0.333649668,0.6638604364
36,0.2572079931,0.5327928477
37,0.1791193962,0.5431812751
38,0.0998838846,0.3856404455
39,0.020008809,0.2643382212
40,-0.0599943846,0.3158296132
41,-0.1396134296,0.1732049803
42,-0.2183385194,0.0929044292
43,-0.2956655714,0.0679264128
44,-0.3710994548,-0.1100449493
45,-0.4441571607,-0.1635087688
46,-0.5143708952,-0.263395155
47,-0.5812910746,-0.2205536558
48,-0.644489204,-0.3426093259
49,-0.703560621,-0.416973165
50,-0.7581270869,-0.4490902514
51,-0.8078392087,-0.517573429
52,-0.8523786759,-0.6123694504
53,-0.8914602989,-0.7024566635
54,-0.9248338353,-0.730006119
55,-0.9522855918,-0.8027295898
56,-0.9736397927,-0.8647781672
57,-0.9887597055,-0.8715332565
58,-0.9975485163,-0.9353756031
59,-0.9999499497,-0.9711245216
60,-0.9959486291,-0.9866287488
61,-0.9855701752,-0.9864101555
62,-0.9688810422,-0.9914489794
63,-0.9459880917,-0.9984258097
64,-0.917037909,-0.9971338889
65,-0.8822158643,-0.9951636288
66,-0.8417449257,-0.9783060028
67,-0.7958842317,-0.9288632521
68,-0.7449274317,-0.9122304311
69,-0.6892008059,-0.8576838803
